Test run for 90 minutes of runtime, approximately one full orbit for most LEO sats.

CPU

	11th Gen Intel(R) Core(TM) i3-1115G4 @ 3.00GHz

	Base speed:	3.00 GHz
	Sockets:	1
	Cores:	2
	Logical processors:	4
	Virtualization:	Enabled
	L1 cache:	160 KB
	L2 cache:	2.5 MB
	L3 cache:	6.0 MB

Total sats: 16978
TIME 0.0
TIME 0.1
...
TIME 5399.800000002113
TIME 5399.900000002113

         961071828 function calls (960701551 primitive calls) in 3883.942 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1 2913.363 2913.363 3883.947 3883.947 satEvol.py:1(<module>)
916812000  380.099    0.000  380.099    0.000 KeplerTools.py:113(getXYZVVV)
    54000  329.935    0.006  329.935    0.006 _kdtree.py:608(query_pairs)
    54000  176.164    0.003  226.053    0.004 _kdtree.py:353(__init__)
   164154   48.449    0.000   48.449    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   108828    8.708    0.000    9.103    0.000 _shape_base_impl.py:633(column_stack)
2918086/2916238    2.836    0.000    4.198    0.000 backend_pdf.py:299(pdfRepr)
   545524    1.723    0.000    2.980    0.000 _linalg.py:2624(norm)
441169/394243    1.441    0.000    1.563    0.000 {method 'format' of 'str' objects}
   326127    0.961    0.000    1.297    0.000 backend_pdf.py:95(_fill)
       15    0.927    0.062    8.913    0.594 backend_pdf.py:2100(draw_markers)
   545525    0.703    0.000    0.703    0.000 {method 'dot' of 'numpy.ndarray' objects}
   651929    0.700    0.000    0.700    0.000 {method 'compress' of 'zlib.Compress' objects}
    16895    0.621    0.000    0.858    0.000 ffi.py:195(__call__)
   469720    0.606    0.000    0.606    0.000 {built-in method numpy.array}
  6541341    0.603    0.000    0.655    0.000 {built-in method builtins.isinstance}
   325906    0.551    0.000    4.743    0.000 backend_pdf.py:873(<listcomp>)
   108441    0.523    0.000   48.110    0.000 fromnumeric.py:69(_wrapreduction)
   123177    0.490    0.000    0.577    0.000 transformer.py:713(transform)
        1    0.466    0.466    0.990    0.990 img_transform.py:222(regrid)
3165248/3164511    0.451    0.000    0.590    0.000 {built-in method builtins.hasattr}
   325906    0.391    0.000    7.781    0.000 backend_pdf.py:872(output)
      336    0.379    0.001    0.379    0.001 cbook.py:152(__init__)
  3429943    0.371    0.000    0.371    0.000 {method 'append' of 'list' objects}
   651914    0.351    0.000    1.150    0.000 backend_pdf.py:596(write)
3757179/3748516    0.323    0.000    0.326    0.000 {built-in method builtins.len}
    43908    0.319    0.000    0.319    0.000 predicates.py:674(disjoint)
    55336    0.268    0.000    0.268    0.000 {built-in method builtins.print}
    54001    0.266    0.000   24.695    0.000 fromnumeric.py:3203(amax)
   114903    0.214    0.000    0.993    0.000 decorators.py:62(wrapped)
   655336    0.212    0.000    0.278    0.000 types.py:176(__get__)
    51310    0.212    0.000    0.220    0.000 creation.py:79(linestrings)
232080/38828    0.206    0.000    0.279    0.000 ir.py:321(_rec_list_vars)
   652188    0.204    0.000    1.350    0.000 backend_pdf.py:866(write)
   108828    0.201    0.000    0.541    0.000 _shape_base_impl.py:629(_column_stack_dispatcher)
   323854    0.200    0.000    0.215    0.000 path.py:347(iter_segments)
   109566    0.193    0.000    0.340    0.000 shape_base.py:209(_arrays_for_stack_dispatcher)
   289741    0.189    0.000    0.189    0.000 {method 'write' of '_io.TextIOWrapper' objects}
   648796    0.183    0.000    0.458    0.000 backend_pdf.py:494(pdfRepr)
       22    0.183    0.008    0.183    0.008 {method 'encode' of 'ImagingEncoder' objects}
   546031    0.175    0.000    0.175    0.000 {method 'ravel' of 'numpy.ndarray' objects}
  1116020    0.169    0.000    0.181    0.000 {built-in method builtins.issubclass}
     1067    0.161    0.000    0.161    0.000 {built-in method marshal.loads}
   101/97    0.146    0.001    0.153    0.002 {built-in method _imp.create_dynamic}
   546132    0.141    0.000    0.205    0.000 _linalg.py:128(isComplexType)
  1295382    0.139    0.000    0.139    0.000 {method 'rstrip' of 'bytes' objects}
