Total sats: 16978
Beginning main integration...
         7556259851 function calls (7555909580 primitive calls) in 23177.904 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1 17401.012 17401.012 23177.908 23177.908 satEvol.py:1(<module>)
7334496000 2165.976    0.000 2165.976    0.000 KeplerTools.py:120(getXYZVVV)
   432000 1904.407    0.004 1904.407    0.004 _kdtree.py:608(query_pairs)
   432000 1217.588    0.003 1591.286    0.004 _kdtree.py:353(__init__)
  1298276  366.444    0.000  366.444    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   864837   38.818    0.000   40.920    0.000 _shape_base_impl.py:633(column_stack)
17934231/17932374   12.919    0.000   18.971    0.000 backend_pdf.py:299(pdfRepr)
  3882426    9.396    0.000   15.784    0.000 _linalg.py:2624(norm)
       18    4.447    0.247   41.026    2.279 backend_pdf.py:2100(draw_markers)
  1994619    4.352    0.000    5.844    0.000 backend_pdf.py:95(_fill)
2046587/2004451    4.113    0.000    4.207    0.000 {method 'format' of 'str' objects}
  3882427    3.611    0.000    3.611    0.000 {method 'dot' of 'numpy.ndarray' objects}
  3988904    3.465    0.000    3.465    0.000 {method 'compress' of 'zlib.Compress' objects}
  1994393    2.607    0.000   21.574    0.000 backend_pdf.py:873(<listcomp>)
   864489    2.514    0.000  365.256    0.000 fromnumeric.py:69(_wrapreduction)
 22369946    2.249    0.000    2.249    0.000 {method 'append' of 'list' objects}
  3493778    2.239    0.000    2.239    0.000 {built-in method numpy.array}
 29801734    1.924    0.000    1.958    0.000 {built-in method builtins.isinstance}
18932233/18931533    1.882    0.000    1.936    0.000 {built-in method builtins.hasattr}
  1994393    1.646    0.000   35.450    0.000 backend_pdf.py:872(output)
  3988890    1.590    0.000    5.417    0.000 backend_pdf.py:596(write)
20808209/20800161    1.296    0.000    1.298    0.000 {built-in method builtins.len}
   432001    1.154    0.000  184.852    0.000 fromnumeric.py:3203(amax)
  1992311    0.975    0.000    1.026    0.000 path.py:347(iter_segments)
  3989164    0.970    0.000    6.387    0.000 backend_pdf.py:866(write)
  3992311    0.956    0.000    1.285    0.000 types.py:176(__get__)
  3882948    0.882    0.000    0.882    0.000 {method 'ravel' of 'numpy.ndarray' objects}
  3883034    0.873    0.000    1.131    0.000 _linalg.py:128(isComplexType)
   864837    0.862    0.000    2.156    0.000 _shape_base_impl.py:629(_column_stack_dispatcher)
  3985731    0.817    0.000    2.099    0.000 backend_pdf.py:494(pdfRepr)
  7788891    0.711    0.000    0.719    0.000 {built-in method builtins.issubclass}
   432001    0.708    0.000  182.264    0.000 fromnumeric.py:3347(amin)
   865575    0.683    0.000    1.294    0.000 shape_base.py:209(_arrays_for_stack_dispatcher)
  7969240    0.641    0.000    0.641    0.000 {method 'rstrip' of 'bytes' objects}
  1958192    0.633    0.000    0.633    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       28    0.618    0.022   43.207    1.543 collections.py:352(draw)
   864489    0.618    0.000    0.618    0.000 fromnumeric.py:70(<dictcomp>)
  3882426    0.493    0.000    0.493    0.000 _linalg.py:2620(_norm_dispatcher)
  3990321    0.462    0.000    0.462    0.000 {method 'join' of 'bytes' objects}
    16092    0.446    0.000    0.633    0.000 ffi.py:195(__call__)
   864002    0.433    0.000    1.196    0.000 _function_base_impl.py:908(copy)
   123177    0.420    0.000    0.483    0.000 transformer.py:713(transform)
        1    0.416    0.416    0.779    0.779 img_transform.py:222(regrid)
   432437    0.408    0.000    4.886    0.000 _methods.py:68(_all)
  4320977    0.398    0.000    0.398    0.000 {built-in method numpy.asarray}
  3989610    0.363    0.000    0.363    0.000 {method 'write' of '_io.BufferedWriter' objects}
  2597926    0.354    0.000    0.354    0.000 {built-in method numpy.asanyarray}
  3991913    0.329    0.000    0.329    0.000 enum.py:801(value)
    43908    0.278    0.000    0.278    0.000 predicates.py:674(disjoint)
  1993017    0.269    0.000    0.269    0.000 backend_pdf.py:440(pdfRepr)
   866662    0.227    0.000    0.227    0.000 multiarray.py:161(concatenate)
    51310    0.222    0.000    0.229    0.000 creation.py:79(linestrings)
  1007465    0.205    0.000    0.205    0.000 {method 'items' of 'dict' objects}
   864002    0.201    0.000    0.201    0.000 _function_base_impl.py:904(_copy_dispatcher)
     1176    0.193    0.000    0.241    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
   114903    0.174    0.000    0.894    0.000 decorators.py:62(wrapped)
   432234    0.149    0.000    0.149    0.000 fromnumeric.py:3075(_max_dispatcher)
220919/36948    0.133    0.000    0.188    0.000 ir.py:321(_rec_list_vars)
       22    0.131    0.006    0.131    0.006 {method 'encode' of 'ImagingEncoder' objects}
     1033    0.089    0.000    0.089    0.000 {built-in method marshal.loads}
   432245    0.089    0.000    0.089    0.000 fromnumeric.py:3220(_min_dispatcher)
    52011    0.081    0.000    0.547    0.000 linestring.py:38(__new__)
    16334    0.075    0.000    1.499    0.000 trace.pyx:439(_project_segment)
       10    0.071    0.007    0.071    0.007 transformer.py:99(__call__)
   122608    0.063    0.000    0.248    0.000 trace.pyx:132(project)
    17390    0.063    0.000    0.063    0.000 {built-in method twoline2rv}
    12616    0.061    0.000    0.105    0.000 instructions.py:13(__init__)
4104/4006    0.059    0.000    0.345    0.000 {built-in method builtins.__build_class__}
    61304    0.058    0.000    1.188    0.000 trace.pyx:264(straightAndDomain)
        4    0.052    0.013    0.053    0.013 {built-in method matplotlib._image.resample}
      162    0.051    0.000    0.051    0.000 {built-in method matplotlib._path.cleanup_path}
     8043    0.050    0.000    0.080    0.000 inspect.py:744(cleandoc)
   140181    0.047    0.000    0.084    0.000 linestring.py:60(_coords)
     6298    0.044    0.000    0.044    0.000 predicates.py:626(covers)
297792/297408    0.044    0.000    0.072    0.000 {built-in method builtins.getattr}
    97/95    0.043    0.000    0.047    0.000 {built-in method _imp.create_dynamic}
     4421    0.042    0.000    0.042    0.000 {method 'read' of '_io.BufferedReader' objects}
   114903    0.040    0.000    0.054    0.000 decorators.py:64(<listcomp>)
    52068    0.035    0.000    0.035    0.000 {method 'item' of 'numpy.generic' objects}
    80802    0.034    0.000    0.092    0.000 event.py:243(notify)
   123749    0.033    0.000    0.033    0.000 transformer.py:348(_transformer)
     6117    0.033    0.000    0.033    0.000 predicates.py:1110(intersects_xy)
   140181    0.029    0.000    0.029    0.000 linestring.py:64(<listcomp>)
1967/1940    0.028    0.000    0.029    0.000 {method 'astype' of 'numpy.ndarray' objects}
        9    0.027    0.003    0.027    0.003 {built-in method matplotlib._path.update_path_extents}
       23    0.026    0.001    0.367    0.016 crs.py:360(transform_points)
    51238    0.025    0.000    0.110    0.000 linestring.py:66(<listcomp>)
    43908    0.024    0.000    0.444    0.000 base.py:690(disjoint)
    37010    0.024    0.000    0.119    0.000 event.py:209(broadcast)
      372    0.023    0.000    0.141    0.000 analysis.py:23(compute_use_defs)
    18530    0.021    0.000    1.363    0.000 trace.pyx:385(bisect)
    52066    0.020    0.000    0.055    0.000 base.py:69(_maybe_unpack)
   177612    0.020    0.000    0.020    0.000 {method 'startswith' of 'str' objects}
44968/19803    0.020    0.000    0.120    0.000 _utils.py:44(__str__)
    19327    0.020    0.000    0.020    0.000 {built-in method __new__ of type object at 0x563a1958c9a0}
   122608    0.020    0.000    0.267    0.000 trace.pyx:207(interpolate)
    65179    0.019    0.000    0.028    0.000 targetconfig.py:111(getter)
    17390    0.019    0.000    0.019    0.000 KeplerTools.py:146(getORBELM)
 1437/420    0.019    0.000    0.044    0.000 sre_parse.py:494(_parse)
        3    0.019    0.006    0.019    0.006 {method 'close' of '_io.TextIOWrapper' objects}
    77972    0.018    0.000    0.022    0.000 {built-in method _abc._abc_instancecheck}
53989/46462    0.017    0.000    0.031    0.000 abstract.py:121(__hash__)
    40401    0.017    0.000    0.023    0.000 event.py:270(on_end)
   918/81    0.017    0.000    2.463    0.030 compiler_machinery.py:267(_runPass)
    17390    0.017    0.000    0.017    0.000 {method 'sgp4' of 'sgp4.vallado_cpp.Satrec' objects}
     1024    0.017    0.000    0.020    0.000 backend_pdf.py:1184(get_char_width)
35109/34909    0.017    0.000    0.034    0.000 _utils.py:54(get_reference)
   151019    0.016    0.000    0.028    0.000 {method 'get' of 'dict' objects}
    13131    0.016    0.000    0.102    0.000 values.py:544(_to_string)
     1034    0.016    0.000    0.018    0.000 {built-in method builtins.eval}
        2    0.015    0.008    0.017    0.008 image.py:219(_rgb_to_rgba)
     4517    0.015    0.000    0.015    0.000 {built-in method posix.stat}
66241/63534    0.015    0.000    0.432    0.000 {built-in method builtins.next}
    37010    0.015    0.000    0.030    0.000 event.py:100(__init__)
    43908    0.015    0.000    0.458    0.000 prepared.py:51(disjoint)
18379/17137    0.015    0.000    1.059    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
    10980    0.014    0.000    0.014    0.000 {method 'search' of 're.Pattern' objects}
     1095    0.014    0.000    0.015    0.000 {built-in method matplotlib._path.convert_to_string}
    80802    0.014    0.000    0.014    0.000 event.py:138(is_start)
    18505    0.014    0.000    0.099    0.000 event.py:404(end_event)
      990    0.014    0.000    0.043    0.000 numpy_support.py:380(ufunc_find_matching_loop)
